# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Feb 09 16:31:59 GMT 2025 [seed=1739118718494]
# table.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
38000	-768.1405374936475	-34.173349996131506	-733.967187497516	0.33444576297448547	3.6240264774275412	0.5142737689166941	1.0	1.0	-733.967187497516	0.0	-34.83834952712089
39000	-783.6393856200134	-43.88717571127207	-739.7522099087413	0.4073469541198936	4.080002405722484	0.7349966718614657	1.0	1.0	-739.7522099087413	0.0	-44.195065019151215
40000	-779.1643209774161	-46.14930578211542	-733.0150151953006	0.5736983910943422	4.260633778754128	0.6949422938938897	1.0	1.0	-733.0150151953006	0.0	-46.51323224936843
41000	-794.7975560630076	-49.3219024612306	-745.475653601777	0.33000879109668896	3.9883571381311373	0.6675895005087894	1.0	1.0	-745.475653601777	0.0	-49.72598427578739
42000	-790.4152194120151	-51.320147151920395	-739.0950722600946	0.3089035676769936	4.121001995547892	0.6266024036659706	1.0	1.0	-739.0950722600946	0.0	-51.78759021636647
43000	-789.9275330645137	-51.42544532324087	-738.5020877412728	0.3599395147325182	3.9780305290377895	0.6656990327652867	1.0	1.0	-738.5020877412728	0.0	-51.83236293659622
44000	-774.9497996840408	-36.63459567547464	-738.3152040085662	0.35204394564817393	3.5273341133251686	0.5386375745732062	1.0	1.0	-738.3152040085662	0.0	-37.253308013121504
45000	-790.299287039152	-46.70334999176572	-743.5959370473862	0.6908450723661668	4.6782050193229985	0.6802959892468646	1.0	1.0	-743.5959370473862	0.0	-47.08857728899956
46000	-776.1685120296119	-39.35331898554422	-736.8151930440677	0.3620147841334525	3.82546240834973	0.6290838713492077	1.0	1.0	-736.8151930440677	0.0	-39.8168096759572
47000	-789.4661688398548	-41.0780535196148	-748.3881153202401	0.517067025217553	4.0500104228408444	0.6324672988477549	1.0	1.0	-748.3881153202401	0.0	-41.53618028077825
48000	-785.7114058002783	-36.02538213652185	-749.6860236637564	0.3732374144128595	3.5380431040740694	0.5757516744246461	1.0	1.0	-749.6860236637564	0.0	-36.577460968577874
49000	-790.8675871225659	-54.460361236473204	-736.4072258860926	0.3248473425970761	3.936319662976755	0.8273113519451302	1.0	1.0	-736.4072258860926	0.0	-54.64993540769418
50000	-787.2613523814964	-42.35579905370316	-744.9055533277932	0.9421652110361536	4.87059465047438	0.7804575568329699	1.0	1.0	-744.9055533277932	0.0	-42.603673973686455
51000	-786.2379198237315	-48.40144387329716	-737.8364759504344	0.37486768237704887	3.8882844782270714	0.7505049051000958	1.0	1.0	-737.8364759504344	0.0	-48.688452965470816
52000	-786.5644109931987	-36.69739147459422	-749.8670195186045	0.28828726115897585	3.4872508162986997	0.66218797652111	1.0	1.0	-749.8670195186045	0.0	-37.10959728551736
53000	-796.0674798097052	-40.31625825433449	-755.7512215553708	0.38153430894045165	3.5954788146341365	0.7922360963113828	1.0	1.0	-755.7512215553708	0.0	-40.54915408454229
54000	-805.0406310482053	-52.28025249966322	-752.7603785485421	0.3330324512311633	4.037308280530686	0.8879993493098969	1.0	1.0	-752.7603785485421	0.0	-52.39903676843253
55000	-807.1889445111493	-54.10854908994293	-753.0803954212064	0.3627553307708164	4.293445663350222	0.9330599401951211	1.0	1.0	-753.0803954212064	0.0	-54.17783492557915
56000	-770.8463464746965	-30.489938116544895	-740.3564083581516	0.23358926453242995	3.101645725397741	0.618705928474399	1.0	1.0	-740.3564083581516	0.0	-30.970063310908866
57000	-781.0364331183845	-39.06632809864099	-741.9701050197435	0.43025617869295124	3.9792319864586156	0.7680333236467348	1.0	1.0	-741.9701050197435	0.0	-39.33025025527171
58000	-805.477080413752	-59.37118271064554	-746.1058977031064	0.5687185021143446	5.212395914199973	0.996872963591779	1.0	1.0	-746.1058977031064	0.0	-59.37431464646845
59000	-784.5805938819454	-42.70683781672921	-741.8737560652162	0.3452403717740403	3.6791674725127566	0.7113465632334823	1.0	1.0	-741.8737560652162	0.0	-43.047433353975684
60000	-788.8192304972963	-41.46670759543765	-747.3525229018586	0.32282699587098745	3.8043265255728587	0.6897899118142334	1.0	1.0	-747.3525229018586	0.0	-41.83807579884209
61000	-782.1484122059261	-43.222943989491725	-738.9254682164344	0.39520479353073384	3.649475711112779	0.8245863591732779	1.0	1.0	-738.9254682164344	0.0	-43.4158173907138
62000	-771.9076242728574	-44.64413841153146	-727.263485861326	0.28524528652367764	3.5467173345883944	0.5847017039936958	1.0	1.0	-727.263485861326	0.0	-45.18079188105192
63000	-779.9245954393848	-46.13764488123865	-733.7869505581461	0.26360470164275035	3.4655655131949197	0.6884797101634964	1.0	1.0	-733.7869505581461	0.0	-46.510914312130815
64000	-806.9119046565231	-51.16377023227065	-755.7481344242525	0.27491792242550106	3.6903875432817754	0.8487991203784565	1.0	1.0	-755.7481344242525	0.0	-51.32770296028541
65000	-815.5291280027624	-65.78809237852457	-749.7410356242378	0.5030923022892744	4.8856770620543335	1.2286690919366798	1.0	1.0	-749.7410356242378	0.0	-65.58216083406298
66000	-796.3741754074782	-49.15274078939648	-747.2214346180817	0.39626500178352847	4.24837967414269	0.6386760601686539	1.0	1.0	-747.2214346180817	0.0	-49.60109869065554
67000	-770.9560661529133	-41.429957223935446	-729.5261089289779	0.36416549213726346	3.7953703574350763	0.5437668711070376	1.0	1.0	-729.5261089289779	0.0	-42.03919189369269
68000	-791.636274352977	-53.42723661857831	-738.2090377343987	0.4000921311579974	4.369090685991947	0.7452688426551859	1.0	1.0	-738.2090377343987	0.0	-53.72124688167169
69000	-787.2763308808883	-54.96618107205145	-732.3101498088369	0.37541350976004245	4.4936856994554715	0.8032103469261607	1.0	1.0	-732.3101498088369	0.0	-55.18531972006986
70000	-768.7253405913552	-40.97660102243291	-727.7487395689224	0.471008754931488	4.087239924191617	0.6861286572054074	1.0	1.0	-727.7487395689224	0.0	-41.35329114434718
71000	-767.0961227535759	-35.77724370606101	-731.3188790475149	0.44453904200645317	3.7235091874819193	0.6655061492340697	1.0	1.0	-731.3188790475149	0.0	-36.18445110724947
72000	-786.1685732118116	-52.46894503082245	-733.6996281809892	0.39730289790740225	4.274163821899383	0.7754507077727413	1.0	1.0	-733.6996281809892	0.0	-52.72325589109431
73000	-767.3912172670452	-39.55938927723193	-727.8318279898133	0.28062986368559933	3.3409457200775985	0.6968275174349403	1.0	1.0	-727.8318279898133	0.0	-39.92060664032315
74000	-782.9122146202728	-43.33020456560632	-739.5820100546665	0.38461008118728734	3.7843936670280445	0.7819801649275737	1.0	1.0	-739.5820100546665	0.0	-43.57613046892753
75000	-774.7395836649187	-43.91800206701965	-730.821581597899	0.3702188032321012	3.8694452071290537	0.6429162660428285	1.0	1.0	-730.821581597899	0.0	-44.35974285414761
76000	-780.3338584301755	-47.33544835955656	-732.9984100706189	0.4619380478914978	4.100634977947612	0.570593187009538	1.0	1.0	-732.9984100706189	0.0	-47.896527139896904
77000	-778.3540199731121	-39.65043921932552	-738.7035807537866	1.677391469350169	6.281855573550112	0.8213306170089328	1.0	1.0	-738.7035807537866	0.0	-39.84726876956093
78000	-770.3359147551167	-35.13041721552911	-735.2054975395877	1.8984513976257666	6.5233630956918915	0.6496750081061495	1.0	1.0	-735.2054975395877	0.0	-35.56170024420596
79000	-775.8545708493783	-44.06453666936946	-731.7900341800089	0.5414325930815879	4.435569520821317	0.6545586360482034	1.0	1.0	-731.7900341800089	0.0	-44.488330777961565
80000	-775.993135788879	-46.497440447952044	-729.495695340927	0.33677156570008726	4.05868318236685	0.6182121424890109	1.0	1.0	-729.495695340927	0.0	-46.97836405576507
81000	-778.8243137923508	-46.14547548241187	-732.678838309939	0.435434621407559	4.017334471151891	0.7779254022448403	1.0	1.0	-732.678838309939	0.0	-46.39660012583679
82000	-765.701116519323	-34.04291516725001	-731.658201352073	0.60042778560914	3.8297032292224977	0.5887907253159501	1.0	1.0	-731.658201352073	0.0	-34.57259963080261
83000	-772.9005266380203	-46.971224133269246	-725.929302504751	0.4674776878089831	4.00253848122584	0.6368036747808643	1.0	1.0	-725.929302504751	0.0	-47.42251800705922
84000	-784.6199608364467	-41.587406611368266	-743.0325542250785	0.31887137342448035	3.473643696336269	0.6154321349969393	1.0	1.0	-743.0325542250785	0.0	-42.07283721078115
85000	-777.7388977174024	-46.915280903805815	-730.8236168135966	0.29521992378533723	3.754700430648941	0.6864706887878163	1.0	1.0	-730.8236168135966	0.0	-47.29147265510599
86000	-778.4277296595079	-34.35047543844889	-744.077254221059	0.2286790939924439	2.97987981849571	0.6420429047217486	1.0	1.0	-744.077254221059	0.0	-34.79357558620937
87000	-787.0929942706606	-48.71120734601524	-738.3817869246453	0.3086021951524075	3.8120856569564068	0.8168922234894935	1.0	1.0	-738.3817869246453	0.0	-48.91345545625271
88000	-786.7691343278751	-45.18188101252795	-741.5872533153472	0.3453038682823485	3.7452286377020405	0.7260648547992569	1.0	1.0	-741.5872533153472	0.0	-45.50199694901566
89000	-799.51298794595	-47.55668493980891	-751.9563030061412	0.33793574299065443	3.539938772337416	0.7856276504667681	1.0	1.0	-751.9563030061412	0.0	-47.79795726576746
90000	-775.1369625227229	-40.477470895490264	-734.6594916272327	0.23462140600083747	3.1314369295337108	0.7794605465107632	1.0	1.0	-734.6594916272327	0.0	-40.72662410111667
91000	-777.0359605101137	-47.283696431189156	-729.7522640789246	0.2503849491839944	3.382754714149233	0.8575438964245268	1.0	1.0	-729.7522640789246	0.0	-47.437379341295745
92000	-768.3071166248267	-44.44350291923491	-723.8636137055918	0.2803933304237823	3.411672974922909	0.7165778322451121	1.0	1.0	-723.8636137055918	0.0	-44.776771328473274
93000	-778.6039186707238	-42.44423420026774	-736.1596844704561	0.262828245697156	3.3562622455437667	0.825933910022697	1.0	1.0	-736.1596844704561	0.0	-42.63547472102905
