# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Feb 09 16:31:59 GMT 2025 [seed=1739118718494]
# table.xml
state	table
160000	"111011000110011010000000010001001000100010001000110000010000001001011100011100010000000010001"
161000	"111010100110011000000000010100001001110010001000100010011000101010011000011111000001001110010"
162000	"101000101110110010100000011001111000100000001000001010011000001111001100001010000000100110000"
163000	"101000101110110000000000010001001000000010001000100000011110001011111000001111000000000110001"
164000	"101010100110010000010000101000011010000010000000000001010000100001010001001011000100101010010"
165000	"111011110110100000000001000000011000100010001000000010011000001011011001000111100000000010001"
166000	"111010101110110000000101010000101000110010001000000000011000001011001000001011010001001110001"
167000	"111000101110011000000000011001011000100110001000000000011110001010011000010111100000001011011"
168000	"111010111110111000000000011000111100100010000000100000011001001011101101000111000000001010001"
169000	"111011101110101000000000011001011000000010100000000010011000001111101000000110000000000010001"
170000	"111010100010011000000101000100011000000010000100000010011110011011101000100011101000010100100"
171000	"111011111110100000000001010001011000110000000000000000011100001111101001100111000000001011101"
172000	"111011000010101000000010011001011000100001001000101010010000011100101001100100100000000110001"
173000	"111011101110000000000000110001011000100011101000001000011100011101111001000011000001000110001"
174000	"111110101110011000000000010000011001100000001000011010011000011110001100000111100010010110001"
175000	"111011101110110000000000010000001010100010001000000010010000001010100011001010100001001110001"
176000	"111100100010001000001001010001011000100000101000001100010000011010110100000111101010010010100"
177000	"111010111110000000100000010000011000000010000000000010011000101011110000110111100000000110001"
178000	"111010101110111000000000010001011000100010001000000010010000001011111010001111100000000110001"
179000	"111010101110011010000000010000011000100010000000000010011000001011101000101111100000000110001"
180000	"111010101110110000000000010000011000100010001001100010011000000110111000001111100000000010001"
181000	"111010101110110000000001010001011000010010001000000010010000001110111000001111000001000110001"
182000	"111010100110110000000000010001111000100010001000000000011000001111111000000011100001000110111"
183000	"111010101110011000000000010001011000000010001000000010010000001110111000100111000000000110001"
184000	"111010101110011000000100011000011000100010001000000010011000001110111000000111000010001110011"
185000	"111010101110111000000000011000011010100010000000000000010000001110111000000011000010000110101"
186000	"111010100110010000000100011000011000100010000000100000010100001111111000000111000011000110001"
187000	"111010110110110000000000011000011000110010001000000010010000001110101001001111000001010110001"
188000	"111010100110111000000000110000011000100010001001000010011000001111111001000101000001001110011"
189000	"111011100110100000000100011000011000100010000000000100011000001111111100001111010000000110000"
190000	"111011101100110010000000011001011000110010000000100010011000001111011000001111000001000110001"
191000	"111001001100010010110110011000111011110010001001000010011000011001001000000111101001100011011"
192000	"101011100110111000011000010010011000100010000000001010010100001110111010101011000010000110001"
193000	"111011101110001100110000010000001000100000101000101010011100001000111011011111000000100100011"
194000	"101011101110001000000000011000100000000000001000000010110000001111101110001111000000000110011"
195000	"111010110110100000110100010011011100010010001000001000111110000111001011000000000011000110101"
196000	"111110110110010000000100010001011000000010000000100110011101000101001101000110000001000110001"
197000	"111010100110101000000001010001001000100010000001100100011000000010101000001110100010000110011"
198000	"101000110100000000000000111001111000110010001000000010011010001111011100001011000011000010000"
199000	"110010010010001001001100010000000101101010010000010100100001001010000000000000001011001000010"
200000	"110101001001001000000010110110100000100010100001010000001000100010001110010000001001000010001"
201000	"111010100110011000000100010000011000100010001000000010011000001111111000001111000000000110101"
202000	"111011100110010000000000010001011000110010001000000000010000001011110000000011000001000110001"
203000	"001010000110110010000000000001011010110010000000100010010001001111001000100111000001000110011"
204000	"011001101010001010000000010100011000000100000000101110010000001110111000001010000000001111000"
205000	"110010000110101010110100001010000000000110011010000100111100110110101100101010000001000010100"
206000	"111001100100111001000001010101101000110011101000001010011000001100101100000110010000000110010"
207000	"111101100100001010100000010101111000100011000001000000011010001111111000000111001001010110001"
208000	"111011100110111000000000011001011000100010001000100000011000001111101000000111000001000010001"
209000	"111010100110011000100000010001011000010000011000100000010010001010101001100001001001001010001"
210000	"101111100010111001100000010101111000100110010000000000001100001010100000000110110000010110011"
211000	"111011100110001001000000001001011000100010000000000010011000001111111000001011100000010010001"
212000	"111011100110001000000100010001011100100010000000000010011000001111111000100011000000000010001"
213000	"101011100110011010000000010001011011100010100000000010010000001110011010011001100011111110001"
214000	"111011100110011000000101000000011010100010001000000010011000001111110001001010100000000010001"
215000	"111010101110100000000001000000011000100010001000001010010000001011010000011111000000000110011"
216000	"111011101010001000011011010110010001010110001011010000001000001110111001001100110001100110101"
217000	"000110001000000010001000001000000000101100100000100000110100000001100101011001101000100010001"
218000	"111010101110110000000000010001011000100010000010101010010000001011011010001111000011010110101"
219000	"001011001110010000000001010000011000000010100101100011011000000010111000011111000110000110001"
220000	"101010001110110000000100010000011100110010001000000010011000011011111000000101000000100110010"
221000	"111010110110101100000000010101011000100010001000000010011000001101111000010110000010100110011"
222000	"111011100110111000000000011001011000100010000000000010011000001011111001000111100010000110001"
223000	"111011101110111000000001011000011000100010001000001000011000001110101001001111100000000110101"
224000	"111010101110110000000000011001001000000010000000100111010011001111101001010111000000000110001"
225000	"011010111100011100000110010001001000100010001000100010011000001011101001000111000001010110000"
226000	"111010101110111000000000010001011000100010001101000000011000001111111000000111000001000010001"
227000	"111010110110001000000000011001011000100010000000100010011000001010101000000111100010000110011"
228000	"111011100110111010000000011001111000100010000000000010011000001111111000001111000001000110001"
229000	"111011100110111000000000010000011010100010101000000010010000000111111010000111000001010010001"
230000	"111010101110110000000000010000011000100010001000000010011000000111011000000011100011000011000"
231000	"111010101110111010000000000001101010110010001000000010010000000111111010101011000000000110000"
232000	"111010100110111000000100010000001000000010001000100010011000001111101001001111000000000110000"
233000	"111010111110110000000000001001011100110010001000000010011000001111111001000111000001000110101"
234000	"111011100110110000000100010000001000000010001000100010011000001111111011000111000001001110001"
235000	"111010100110110000000000010001011001100010001000100010010000000011111100001111100000110110001"
236000	"111010101110110000000000010000011000100010000000000010010000001111111001000111000001010110001"
237000	"111010101110011010100000010000111000100110001000000010010000001111111000001111000000000110011"
238000	"111011100110110000000100001000011000100010001000000000010000000111101001000101001000001110001"
239000	"111011100110011000000000011001101001100010001000000010010000001011111010001111000001000110001"
240000	"111010111110111000000000011000011000110010001000000010010000001111100000001110100000000110001"
241000	"111011101110111000100000010001011000100010001000000010010000000111101011001111000010000110001"
242000	"111010100110101010000100010001111000110010000010000000010000000111101001000111000000101110101"
243000	"111011100110111000000010010000011000000010000000000010010000000111110001001111100000000110010"
244000	"111111101010101000100000010000011010100010110100100000011100000111111101000111000001100110111"
245000	"111011101110111100000000011000111000110010001000000010011100001111111000001111100000000110001"
246000	"111000100110000010100100010010011000100011000000000000011000011011111000001111100001001100001"
247000	"111010001110111000000000010000001000100010001010100010010000001011100001000111100000001110000"
248000	"111010100110111010000000110001001001100010001001100010010000001111011000000111000000000110011"
249000	"111010101110111010000100011000011100100010001000000010011000001111111000000111000001000110111"
250000	"111010100110000000100000010000011000110110001000100000011000011110011010000111000000001010101"
251000	"111010101110011000000000010001111000100010001000000010011000001111011001000111000011100110001"
252000	"111011110110001000000100010000011000010010000000100010011000001110111001000111000000000110001"
253000	"111011100110111000000100011000111000100110001000100000011000000010011000001111000001000110001"
254000	"111010101010011000000100011000011000110010001000000000011001100110111100111111000000001110001"
255000	"111010100110111000000000010001011000100010000001000010011000001111110001000011000001001110001"
256000	"111010100110111000000100011001011000100010000000000010011000001111111000011011100001000110001"
257000	"111011101110011000000000011000011101000010001000000010011000000111111110001011000000001110000"
258000	"111010110110110000000000010001011100100010001000100010010000101111111010001110000010000110001"
259000	"111011101110111000100000010001011000100000000000000010011000001111101001000111100010000110011"
260000	"111010100110110000100100011000011000110010000000000010010000101110111000001101000000000110101"
261000	"111011111110111000000000110001011000100110001000000010011000001111001000000110000000000110001"
262000	"111011101110111000000000010001001000100010001000000100111000000100101000100011100000010111101"
263000	"111011101110011000000010011001001010110010001000001010010000001110111000000111000000001110111"
264000	"111011100110010000000100011000101000100010000001000010011000001111101000000111000000000110001"
265000	"101011101110110000000100011001011000110010001001000010010000001111111001001111000010010110001"
266000	"111010100110010000000000011000011001100011000000000010011000001011111001000011100010001110001"
267000	"111010100110111000100100001000011000100010001000100010011000001111111001000111000000000110011"
268000	"111010101110100000000100010000011000100010000000000010011000101111111000000101000000000110001"
269000	"111111100110111100100001010000111000100010001000000100010000001110110000001101000000000110101"
270000	"111011100110001000000000010000111000010010001000000100011000001110111000101011100000001110001"
271000	"111010100010111000000000010000111000100011001000000000011000000110111000000011000000000110001"
272000	"111011101110110000010000000000011000110010001001000000010000001111111001000111100001000110001"
273000	"111011100110000000000000001001011000100010001001100010011000000010101000000111100010001110001"
274000	"111010101111000000000000010001001000000010000000100000011000000110110001000011000011000110010"
275000	"111011100010011000001011011000011000110010101000000000011000000110111001001011100011010100000"
276000	"111011101110001000000000010001011000000010000100000000010100000111011001001011000001000110001"
277000	"111010100110111010000101010000111000100010000000000000010000001111111000000111000000001110001"
278000	"111010100110011000000100011001101000100010000010000010011000001110011001001011100011100110001"
279000	"111010100110101010000000011001011000110010001000000010010000001011101000001111000011110110011"
280000	"111010101110100010000000011001011010010010001000100010011000000011111000100111000001000101001"
281000	"111011101110110000000000010000011000010011001000000010010010011110010001000011101100000000010"
282000	"100001100011001000000100010010100010000011000000111001010100001100001001001000111011010011100"
283000	"111011100010110000000000010000111001000010010000000010011100011000111011100111000011101110000"
284000	"111010000010010001000100010001100001100000100000000010010000001010111000101011000001000110100"
285000	"111001111110110000000000011001111000100010001000001000010010010110101001000011000000010110001"
286000	"101010100110001010100000010000101000100010101000001000000000000110001000100011000001000010011"
287000	"111010000110011000000000011001011100001010000000001000010111011110101000110001001101010001100"
288000	"111010100110010000110000010000111000100101000000001110011000001111101101011111000001000100010"
289000	"111010100110100000000000010001011101100010001000100010010010000010001000000111100000000010000"
290000	"101011111000101000000100011001011010110010100000000010010000001011101000100111000000000110000"
291000	"111011111110010000000000010001101000110010001000001000011000000111011000000100000000010110001"
292000	"111010101110111000000110010000011000100010000000000010001000000111111000000111000001000000100"
293000	"111010100010000000000100010000111010100010001000000010011000000010111000000111000001000110001"
294000	"111010100110011000000000010001011000100010001000100010011000001111100000101111000001000110011"
295000	"111010100110010010000000000100011000100010001000000100010000000111110000001100000001000111001"
296000	"111010110110001000000000010001001000010010001000000010011110100111110000000011000001000110001"
297000	"110010110000010000000000011000011000000010001001000001011000000011010001001111000100010110010"
298000	"111010110110110010000101011000011000000010001001000001011010001111011010000011001010010110000"
299000	"111010110110000010000001101000011000100010000000000010010100001011011000001011000010010110100"
300000	"111100101110101000000010011001011001000010001000000100110000000111011000100111000000010110000"
301000	"111010101110111000000000010000011000100011000000000010001001000001111000001111100011001110001"
302000	"111011100110010000000000011000001000110010000000100000011000001011111100001111000000001110010"
303000	"111010101010010010000000011001111000100010001001000010010000000111111001000111100001001010001"
304000	"111010110110000000100000010100011010100000001000100000010010000111011010000111100011001010000"
305000	"111010110110110000000100010000001000100010101000100000011000000011111000001111000000001110000"
306000	"111010100110011000001100011001011101100010001000100010011100000011111000100111100011001010001"
307000	"111010110110000000000000010001111010000010000000000010011000000111101000100101000001000110011"
308000	"101011001111000010100000011000111100100010000000001010011101011110111000010010000011100010000"
309000	"111011101010001000000101010001111000110010001000100010001010001110101110000111000000010010101"
310000	"111010101110011000000001011001011001100011001000000000011000001111110010000111100001000110001"
311000	"101010101110010000000101001001111000100010000000000000010000001010111010000110000000000010011"
312000	"111010110110111000000000001100011000100010001001000000010000001010111001000111100110100110101"
313000	"111010100110111000000000010001011000010010001000000010011010000011111000001111100001000110001"
314000	"111010100110100000000100010001111000010110001000000011011000001011111000101101000001000100001"
315000	"111010101110011000010000010000011000100011001000001010011000000111010000001001100001001010111"
316000	"001001001110011000000010010001111000000001001000000010011000001110001000101011000001100110001"
317000	"111011101110101000000000011001011000100010000000000000011000000111101000010111000001100110001"
318000	"111110101010011000000000001000011001100010001000000010010000001111111000000011000001010010001"
319000	"111011100110100000000000010001011000100010000000000000011000001111111001001111000001000110001"
320000	"111011100110101010001000010001001000000010101000000010011000001010100000000110000001001110111"
321000	"111010101110111000100001010000001000100010001001000010010000001011101000000101000000100110001"
322000	"101011101110110000000101010001011010100010000010000000010000000011011000000111000000000111001"
323000	"111010100110011000100100010001001000100110000000100010011001000011111000000111000001010010101"
324000	"111010111110001000000100001000001000010010000001100110011100001101111100000000000001000010001"
325000	"111010100010001000000000010001111000100010000000000000011000000110111001001111100000001110001"
326000	"111111100110110000000100011001011100100000001000000000010000000110111000001010100000000110001"
327000	"111011101110100000000000010001111001000011001000000000011000101110111000000011000000000110001"
328000	"111010101110110010000100011001011000100010001001000010011000000110110000000111100001000110001"
329000	"110010101010001000000001010000111000110010001000000110001100001010111000001101100001000010110"
330000	"111010101000000000100000111000111000100000011000100000011000000110110001000110000001000110001"
331000	"111010100100001000000100011000001000100010101000100010011000000110111100001010000001010010001"
332000	"111110110110001000000100011000011000000011001000000010011000001110111000000111000001010100001"
333000	"111011101110011000000000010000011000100010001000000010011000001110011000001111000000000110111"
334000	"111010101110111000010000011001011000100010001000000010011000001110111000001111000001000011001"
335000	"111010100110001000000000000001111000100010000000000010010000001111111000000110100000000010011"
336000	"111011110110001000000000011000111000100010000000100010011000001111111000001111000000011110011"
337000	"111010100110011000000000000001111000110010001000000000011000001111110000011111000001001110011"
338000	"111011101110011000000101010001011000100010001000000010011000001111101010000111000010000110001"
339000	"111011101110011000100000010001011000100010001000100010011000001111111001000111000001000110011"
340000	"111010101110001000000001011001111000100010000000000010010000001111101000001011000000000110001"
341000	"111010100110011000000001011000011000110010001000000010011000001110010010000101000001001110001"
342000	"111010111110001000000000010001111000100110001000000110000000000111111000000111100000000110011"
343000	"111011100110001000000000011000011000110010000000000000010000001110100000000011000000000110011"
344000	"111011101110011000010100010001011000010010001000100010011000101010110001000111000000000110001"
345000	"111010100110001000000100011001111000010110001000000010011000001111111100011111000000000110001"
346000	"111010100110000010100000010000101000100010001000100010011000000111111000001011100000000110100"
347000	"111011100110101010100000000001111000100000001000100010010000000110111000001101000001000010001"
348000	"111011100110011000000100010001011000110010001000000010010000001111010000001111000000000110101"
349000	"111010100110111000000000001000011000000010001000000010010000001111111100001111000001001110101"
